current time 20230518_185959
creating new summary file
argv: ['--local_rank=0', '--logdir=./checkpoints', '--dataset=dtu_yao', '--trainpath=/media/yons/10T1/wanglina/cas_training/dtu', '--ndepths', '48,32,8', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '2', '--eval_freq', '3', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--cost_aggregation', '91', '--numdepth=192']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
datafile  	tank                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
testpath  	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	30                            	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	2                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	./checkpoints                 	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
cost_aggregation	91                            	<class 'str'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
self.mode train
self.datafile tank
self.cost_aggregation 91
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 924303
Let's use 2 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/30, Iter 0/13548, lr 0.000335, train loss = 250.737, depth loss = 71.649, time = 4.978
Epoch 0/30, Iter 50/13548, lr 0.000401, train loss = 248.227, depth loss = 70.527, time = 0.682
Epoch 0/30, Iter 100/13548, lr 0.000468, train loss = 119.501, depth loss = 32.806, time = 0.670
Epoch 0/30, Iter 150/13548, lr 0.000535, train loss = 94.325, depth loss = 27.154, time = 0.657
Epoch 0/30, Iter 200/13548, lr 0.000601, train loss = 134.842, depth loss = 37.689, time = 0.661
Epoch 0/30, Iter 250/13548, lr 0.000668, train loss = 140.719, depth loss = 40.102, time = 0.689
Epoch 0/30, Iter 300/13548, lr 0.000735, train loss = 88.577, depth loss = 24.731, time = 0.624
Epoch 0/30, Iter 350/13548, lr 0.000801, train loss = 65.604, depth loss = 17.867, time = 0.637
Epoch 0/30, Iter 400/13548, lr 0.000868, train loss = 92.957, depth loss = 26.071, time = 0.650
Epoch 0/30, Iter 450/13548, lr 0.000935, train loss = 57.311, depth loss = 15.727, time = 0.630
Epoch 0/30, Iter 500/13548, lr 0.001000, train loss = 148.697, depth loss = 42.214, time = 0.675
Epoch 0/30, Iter 550/13548, lr 0.001000, train loss = 185.121, depth loss = 52.619, time = 0.641
Epoch 0/30, Iter 600/13548, lr 0.001000, train loss = 137.930, depth loss = 38.746, time = 0.557
Epoch 0/30, Iter 650/13548, lr 0.001000, train loss = 105.161, depth loss = 28.846, time = 0.537
Epoch 0/30, Iter 700/13548, lr 0.001000, train loss = 96.115, depth loss = 27.408, time = 0.678
Epoch 0/30, Iter 750/13548, lr 0.001000, train loss = 31.423, depth loss = 8.195, time = 0.595
Epoch 0/30, Iter 800/13548, lr 0.001000, train loss = 53.217, depth loss = 14.890, time = 0.634
Epoch 0/30, Iter 850/13548, lr 0.001000, train loss = 47.819, depth loss = 13.159, time = 0.563
Epoch 0/30, Iter 900/13548, lr 0.001000, train loss = 21.626, depth loss = 5.733, time = 0.573
Epoch 0/30, Iter 950/13548, lr 0.001000, train loss = 82.447, depth loss = 22.908, time = 0.672
Epoch 0/30, Iter 1000/13548, lr 0.001000, train loss = 51.689, depth loss = 14.341, time = 0.625
Epoch 0/30, Iter 1050/13548, lr 0.001000, train loss = 58.407, depth loss = 15.977, time = 0.612
Epoch 0/30, Iter 1100/13548, lr 0.001000, train loss = 41.872, depth loss = 11.660, time = 0.622
Epoch 0/30, Iter 1150/13548, lr 0.001000, train loss = 43.229, depth loss = 11.661, time = 0.628
Epoch 0/30, Iter 1200/13548, lr 0.001000, train loss = 41.380, depth loss = 10.931, time = 0.660
